Table S-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bachelor's Degree Holders in the Labor Force, by state: 2005–19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Labor force participants with bachelor's degrees,,,,,,,,,,,,,,,,Labor force participants,,,,,,,,,,,,,,,,Bachelor's degree holders as a percent of the labor force (Percent),,,,,,,,,,,,,,
State,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
West Virginia,"163,820","165,280","170,980","174,875","176,300","181,305","191,630","191,040","188,280","190,830","192,865","201,880","188,750","201,375","201,405",,"802,850","820,285","809,495","830,490","826,115","820,065","821,365","818,100","822,235","803,400","796,710","801,305","777,185","787,455","792,405",,20.4,20.1,21.1,21.1,21.3,22.1,23.3,23.4,22.9,23.8,24.2,25.2,24.3,25.6,25.4
Wisconsin,"745,930","772,225","790,135","812,365","804,090","829,775","832,600","857,905","872,680","902,315","908,040","930,715","961,490","962,100","1,006,925",,"2,960,050","3,056,450","3,050,120","3,122,460","3,117,785","3,080,460","3,070,130","3,068,695","3,072,550","3,080,345","3,091,420","3,088,665","3,086,660","3,091,945","3,100,945",,25.2,25.3,25.9,26.0,25.8,26.9,27.1,28.0,28.4,29.3,29.4,30.1,31.1,31.1,32.5
Wyoming,"63,580","62,400","66,250","67,545","66,535","72,930","72,735","74,650","80,780","78,975","74,935","80,810","78,275","78,605","80,370",,"280,020","282,680","289,655","293,375","296,945","299,395","305,530","305,965","310,965","312,700","310,370","304,585","297,580","299,120","294,290",,22.7,22.1,22.9,23.0,22.4,24.4,23.8,24.4,26.0,25.3,24.1,26.5,26.3,26.3,27.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puerto Rico,"385,790","405,440","411,380","425,065","427,700","413,530","427,745","437,210","419,655","421,500","422,640","428,375","418,380","413,815","436,220",,"1,427,705","1,440,510","1,410,390","1,458,860","1,483,140","1,386,060","1,352,970","1,324,510","1,300,920","1,280,835","1,265,235","1,254,915","1,199,620","1,182,650","1,214,930",,27.0,28.1,29.2,29.1,28.8,29.8,31.6,33.0,32.3,32.9,33.4,34.1,34.9,35.0,35.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES: The national labor force total for the United States includes Puerto Rico.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SOURCE: U.S. Census Bureau, special tabulations of the American Community Survey (various years), data available as of January 2021.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Recommended Citation: National Science Board. “Bachelor's Degree Holders in the Labor Force.” Science and Engineering Indicators: State Indicators. Alexandria, VA: National Science Foundation. https://ncses.nsf.gov/indicators/states/indicator/bachelors-degree-holders-in-labor-force. Accessed on [date of user access].",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Last updated: March 24, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Science and Engineering Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
